"display_name","first_name","id","last_name","party","state"
"Barrasso (R-WY)","John","S317","Barrasso","R","WY"
"Blunt (R-MO)","Roy","S342","Blunt","R","MO"
"Boozman (R-AR)","John","S343","Boozman","R","AR"
"Cochran (R-MS)","Thad","S136","Cochran","R","MS"
"Cornyn (R-TX)","John","S287","Cornyn","R","TX"
"Crapo (R-ID)","Mike","S266","Crapo","R","ID"
"Cruz (R-TX)","Ted","S355","Cruz","R","TX"
"Enzi (R-WY)","Michael","S254","Enzi","R","WY"
"Fischer (R-NE)","Deb","S357","Fischer","R","NE"
"Grassley (R-IA)","Chuck","S153","Grassley","R","IA"
"Heller (R-NV)","Dean","S352","Heller","R","NV"
"Hoeven (R-ND)","John","S344","Hoeven","R","ND"
"Inhofe (R-OK)","Jim","S236","Inhofe","R","OK"
"Isakson (R-GA)","Johnny","S305","Isakson","R","GA"
"Johanns (R-NE)","Mike","S321","Johanns","R","NE"
"Johnson (R-WI)","Ron","S345","Johnson","R","WI"
"Lee (R-UT)","Mike","S346","Lee","R","UT"
"Risch (R-ID)","James ","S323","Risch","R","ID"
"Roberts (R-KS)","Pat","S260","Roberts","R","KS"
"Rubio (R-FL)","Marco","S350","Rubio","R","FL"
"Scott (R-SC)","Timothy","S365","Scott","R","SC"
"Sessions (R-AL)","Jeff","S261","Sessions","R","AL"
"Shelby (R-AL)","Richard","S184","Shelby","R","AL"
"Toomey (R-PA)","Pat","S351","Toomey","R","PA"
"Vitter (R-LA)","David","S299","Vitter","R","LA"
"Wicker (R-MS)","Roger","S318","Wicker","R","MS"
"Baldwin (D-WI)","Tammy","S354","Baldwin","D","WI"
"Begich (D-AK)","Mark","S319","Begich","D","AK"
"Durbin (D-IL)","Richard","S253","Durbin","D","IL"
"Graham (R-SC)","Lindsey","S293","Graham","R","SC"
"Harkin (D-IA)","Tom","S172","Harkin","D","IA"
"Hatch (R-UT)","Orrin","S118","Hatch","R","UT"
"Heitkamp (D-ND)","Heidi","S360","Heitkamp","D","ND"
"King (I-ME)","Angus","S363","King","I","ME"
"Markey (D-MA)","Edward","S369","Markey","D","MA"
"McCain (R-AZ)","John","S197","McCain","R","AZ"
"McConnell (R-KY)","Mitch","S174","McConnell","R","KY"
"Moran (R-KS)","Jerry","S347","Moran","R","KS"
"Paul (R-KY)","Rand","S348","Paul","R","KY"
"Portman (R-OH)","Rob","S349","Portman","R","OH"
"Sanders (I-VT)","Bernie","S313","Sanders","I","VT"
"Shaheen (D-NH)","Jeanne","S324","Shaheen","D","NH"
"Thune (R-SD)","John","S303","Thune","R","SD"
"Warren (D-MA)","Elizabeth","S366","Warren","D","MA"
